ID,RA,DEC
"iDR3.SPLUS-n08s38.032224",202.69644814920034,-9.404781810879024
"iDR3.SPLUS-s20s35.031802",335.3749339357301,-25.38194285939862
"iDR3.SPLUS-n11s01.041473",149.86750379524292,-13.252131750691166
"iDR3.HYDRA-0048.036892",163.18920507877073,-28.08168034712678
"iDR3.SPLUS-s03s01.008704",325.3889979526399,-3.2406378430303344
"iDR3.SPLUS-n16s11.031916",165.0198883039752,-20.164692680513582
"iDR3.HYDRA-0061.077544",153.4702520289938,-30.11950266626276
"iDR3.SPLUS-n14s01.040345",150.96395692162002,-17.150617465968892
"iDR3.HYDRA-0104.079278",152.3753520998562,-37.03252891504635
"iDR3.HYDRA-0104.044054",151.60526797652437,-37.802311781549434
"iDR3.SPLUS-n05n50.007732",217.52949791818708,4.8643528621342185
"iDR3.SPLUS-n02n19.026183",174.75578476142175,1.3382478314723678
"iDR3.SPLUS-n14s14.006018",169.39803780151604,-18.139146400575363
"iDR3.SPLUS-n02n28.033705",186.9424382125147,1.6010802406287115
"iDR3.HYDRA-0011.075548",150.44330135993783,-23.173862289410675
"iDR3.HYDRA-0069.012270",151.71667551521224,-32.75898223958493
"iDR3.HYDRA-0048.074383",164.05297648464912,-27.340493477803786
"iDR3.HYDRA-0151.000165",163.13488234779288,-45.27905175450667
"iDR3.SPLUS-n02n19.019328",175.95021538229904,1.1350952392512657
"iDR3.HYDRA-D-0001.134024",157.9802219963947,-33.90828731046859
"iDR3.STRIPE82-0007.023673",3.6199743565125737,-0.7455029176005269
"iDR3.SPLUS-n19s01.006916",164.25184149386763,-24.798683830436467
"iDR3.SPLUS-n15s20.046032",176.9692875413315,-18.199593460927137
"iDR3.HYDRA-0037.021298",160.18522298683968,-26.908199760912332
"iDR3.HYDRA-0077.000664",150.69286744299933,-34.28577539761965
"iDR3.HYDRA-0136.042939",163.00745026863922,-41.892170553131315
"iDR3.SPLUS-s24s61.017859",334.16969990165353,-31.240107171328066
"iDR3.HYDRA-0052.018558",154.08925296635758,-29.85986890487721
"iDR3.SPLUS-n02s37.046364",199.4331632480484,-1.000304791159635
"iDR3.HYDRA-0106.040045",156.9261644241479,-37.682411356469395
"iDR3.HYDRA-0117.044221",160.07580629662584,-39.02361825020224
"iDR3.HYDRA-0140.073990",156.85762487962052,-42.741802321381485
"iDR3.HYDRA-0117.018614",160.08655053457562,-39.49945999374784
"iDR3.HYDRA-0031.014285",150.71541636257092,-27.097893479749743
"iDR3.STRIPE82-0024.000821",15.562046771477473,0.030255531274372773
"iDR3.HYDRA-0013.048992",154.60806176511605,-23.671327441386886
"iDR3.HYDRA-0077.074068",149.48358738891747,-33.1786172313488
"iDR3.HYDRA-0096.000007",152.42477533218374,-37.072283320428525
"iDR3.HYDRA-0121.038210",150.36955277935004,-40.70523659502966
"iDR3.SPLUS-n11s03.019847",152.78760079527692,-13.775264641130967
"iDR3.HYDRA-0148.050363",158.33596413024327,-44.70483133437549
"iDR3.HYDRA-0014.002392",156.15271326415757,-24.57046234799539
"iDR3.SPLUS-n16s01.000509",150.80331114785088,-20.942158262912596
"iDR3.STRIPE82-0106.020286",313.94015496296885,0.380904458015274
"iDR3.SPLUS-n18s20.057259",178.1002986574552,-22.455001233857036
"iDR3.SPLUS-s02s08.040033",334.89283243504946,-1.071376767124696
"iDR3.SPLUS-n07s01.014743",151.28286671900932,-8.512947035164837
"iDR3.SPLUS-n16s10.014423",164.90823379364934,-20.61102919684325
"iDR3.HYDRA-D-0002.000032",156.1366542698264,-35.34266792428269
"iDR3.STRIPE82-0164.030228",354.400936509474,0.598658560618909
"iDR3.SPLUS-s23s33.051468",334.1253072836468,-29.01480498338059
"iDR3.STRIPE82-0099.000188",308.37760318468224,-1.3783601666587044
"iDR3.HYDRA-0102.075251",163.29524183797864,-35.63839883541829
"iDR3.HYDRA-0156.038421",159.86813932922573,-46.23380179974603
"iDR3.STRIPE82-0095.052984",306.7773939711684,-0.6357219920781817
"iDR3.STRIPE82-0112.023499",318.19224881157754,0.4463619066385694
"iDR3.STRIPE82-0141.018587",338.3061798828739,-0.9200969942086774
"iDR3.HYDRA-0137.070629",149.09749391975734,-43.2873610299356
"iDR3.HYDRA-0062.000195",155.7551497192617,-31.55286030408309
"iDR3.SPLUS-n12s33.017983",196.83914215041287,-15.158043702089627
"iDR3.HYDRA-0153.109598",153.8227007784095,-45.714538397348576
"iDR3.STRIPE82-0112.020655",318.1924501945227,0.3899566703291452
"iDR3.SPLUS-s03s01.021440",325.3880970682759,-2.9619419755199896
"iDR3.HYDRA-0124.075917",157.81345348707177,-40.15591393329525
"iDR3.HYDRA-0111.041295",163.9437609168157,-37.75974882908552
"iDR3.SPLUS-s22s33.000004",333.1803925715979,-28.96076557311981
"iDR3.SPLUS-n08s01.001524",151.23671407717939,-10.159438711697545
"iDR3.HYDRA-0053.019390",155.77526919541657,-29.784186871770604
"iDR3.HYDRA-0081.037886",158.01332462581152,-33.510635765432745
"iDR3.STRIPE82-0026.050711",17.242995026203268,1.3925796570239284
"iDR3.HYDRA-0121.055452",150.3682932785934,-40.49026205178558
"iDR3.HYDRA-0129.023475",149.7478475336096,-42.26769266946458
"iDR3.HYDRA-0145.017924",152.45026906210012,-45.13321954408437
"iDR3.HYDRA-D-0003.041544",157.41173439876025,-36.26150065236285
"iDR3.SPLUS-s26s38.037434",58.90008134441035,-33.2107124545388
"iDR3.SPLUS-s29s48.053120",320.1024315448749,-37.035562171048795
"iDR3.STRIPE82-0027.023036",18.89077699675322,-0.8587455347938298
"iDR3.HYDRA-0137.030974",149.10011178767613,-43.62971062532127
"iDR3.HYDRA-0056.040679",160.54333807171315,-29.445198858507165
"iDR3.STRIPE82-0090.164954",301.96020881354997,1.4357992517420628
"iDR3.SPLUS-n03s18.007209",174.59468300063068,-3.255086112535046
"iDR3.STRIPE82-0169.030158",357.8153294830434,-5.8998646198314144E-5
"iDR3.SPLUS-n13s04.008548",155.42092207372565,-16.737509537070316
"iDR3.HYDRA-0011.073820",150.8823454180836,-23.16851954277631
"iDR3.SPLUS-n17s17.012781",174.94789071139556,-21.955696720076112
"iDR3.STRIPE82-0112.031119",318.1915872626275,0.6022337565807521
"iDR3.SPLUS-n09s38.000058",201.21639844747187,-11.54784421395066
"iDR3.SPLUS-s26s12.024278",18.395545963646896,-33.50064042373719
"iDR3.HYDRA-0121.070101",150.35869092036918,-40.31411641152211
"iDR3.SPLUS-n16s15.043877",172.10262014941057,-20.03071315120004
"iDR3.HYDRA-0051.028758",153.58989696083984,-29.49495910126087
"iDR3.SPLUS-n15s21.016839",178.05431943383525,-19.209141541172368
"iDR3.HYDRA-0084.059170",162.79818641175822,-32.89480133556277
"iDR3.HYDRA-0129.024115",149.74265674434176,-42.26113234618966
"iDR3.HYDRA-0026.018365",159.73480460089112,-25.631021464706063
"iDR3.SPLUS-s25s09.043816",11.994479645329305,-31.97850191723796
"iDR3.HYDRA-D-0001.063377",157.41004420914481,-34.644940940472445
"iDR3.SPLUS-n16s02.005530",153.38977537009552,-20.760159574720795
"iDR3.HYDRA-0061.075257",154.08864092816754,-30.10785283023747
"iDR3.HYDRA-0069.085456",151.91113039164756,-31.500154416102355
"iDR3.HYDRA-0137.060186",149.0991717471123,-43.37617081439304
"iDR3.STRIPE82-0091.009936",303.9444563106612,-1.276610122552743
"iDR3.STRIPE82-0011.044959",7.792082121296877,-0.26257457705527415
"iDR3.STRIPE82-0076.006124",53.15637348569088,0.13944302553720572
"iDR3.STRIPE82-0089.066914",302.5212708715713,-0.6631487360802586
"iDR3.HYDRA-0026.052331",158.85933642579576,-24.753136157195524
"iDR3.HYDRA-0121.086310",150.35825871223687,-40.101886131816514
"iDR3.SPLUS-n02s27.030508",186.59798824693982,-1.2522238258898684
"iDR3.STRIPE82-0081.000469",56.74434733851235,-1.373460888074831
"iDR3.SPLUS-s17s23.010277",317.2079549840881,-22.096342364756048
"iDR3.SPLUS-n17s02.027149",151.8708726412487,-21.7250381049027
"iDR3.HYDRA-0131.106632",155.4614110165094,-41.3295727861573
"iDR3.STRIPE82-0092.007511",303.4123859899806,0.10847320576169187
"iDR3.HYDRA-0129.047481",149.7425383099921,-42.02832263651119
"iDR3.SPLUS-n12s02.043088",152.7586596162104,-14.676904418251612
"iDR3.HYDRA-0158.015093",163.89722028194223,-46.50784450488018
"iDR3.SPLUS-s25s45.006279",70.43547151856541,-32.71316846642457
"iDR3.SPLUS-n07s43.015179",208.77190793029135,-8.503259268717619
"iDR3.SPLUS-s22s32.025553",333.2185453116102,-28.435676734957944
"iDR3.HYDRA-0138.069944",153.02509389224338,-43.19618212622167
"iDR3.SPLUS-n11s41.000265",205.9829614940105,-14.235630085488037
"iDR3.SPLUS-n05s03.042012",153.31066930355348,-5.210167217872532
"iDR3.SPLUS-n18s15.021466",171.72969744006403,-23.115863521274214
"iDR3.HYDRA-0121.026089",150.37090341999115,-40.8519484846524
"iDR3.HYDRA-0137.035294",149.09973346603618,-43.58932373213561
"iDR3.HYDRA-0066.013836",162.81698797600112,-31.270939296002755
"iDR3.HYDRA-0117.036794",160.0795511904486,-39.17932981709585
"iDR3.HYDRA-0163.022292",157.35858005537395,-47.82882047721658
"iDR3.SPLUS-n11s39.055025",203.00564059185757,-13.098948286766191
"iDR3.SPLUS-n10s35.037236",198.5143258035405,-11.93240713572166
"iDR3.HYDRA-0055.103087",159.71572526234496,-28.73551290526178
"iDR3.SPLUS-s26s44.000936",70.25948809877283,-34.22704098131671
"iDR3.SPLUS-n09s38.000059",201.245569648305,-11.547789505317613
"iDR3.SPLUS-n14s33.033280",195.38889023732077,-17.402163487986787
"iDR3.HYDRA-0098.052576",157.3761036000454,-36.216253723376845
"iDR3.HYDRA-0121.056916",150.36823910881648,-40.48342608618111
"iDR3.SPLUS-s27s34.029847",55.08871476251146,-34.65158064066873
"iDR3.HYDRA-0107.039834",158.69666579164382,-37.59887673758166
"iDR3.HYDRA-0064.056844",158.91174473479245,-30.109512113217335
"iDR3.HYDRA-0143.077982",162.45251172981352,-42.9691171043318
"iDR3.HYDRA-D-0002.000010",156.04765963243705,-35.34263800259103
"iDR3.SPLUS-s29s46.072842",316.47319569385303,-37.14456181858315
"iDR3.SPLUS-s31s44.000221",316.90733897290426,-40.83860097310526
"iDR3.SPLUS-n15s20.042930",177.11120124325876,-18.50628940436583
"iDR3.HYDRA-0145.049153",152.4442356202359,-44.89376161920983
"iDR3.HYDRA-0137.149222",149.95887794905747,-42.48146869819253
"iDR3.HYDRA-0156.002588",159.87758276927772,-46.606048036816254
"iDR3.SPLUS-n11s41.068773",205.48845310924332,-13.033715110540074
"iDR3.STRIPE82-0089.132743",302.5138157034115,-0.10884798671702747
"iDR3.HYDRA-0152.142322",151.80873190391839,-45.62252366966431
"iDR3.HYDRA-0152.147333",151.8073884426182,-45.58832980669175
"iDR3.HYDRA-0093.073006",161.98245401935384,-34.59259737461205
"iDR3.HYDRA-0123.027563",155.9892590457165,-40.82734842411913
"iDR3.HYDRA-0033.054699",154.60886952514295,-26.49148368874366
"iDR3.HYDRA-0011.066566",150.32352457772527,-23.175435217832618
"iDR3.SPLUS-n13s32.026048",193.6363035969289,-16.351049269931643
"iDR3.HYDRA-0104.042425",151.5965106312249,-37.815402767820906
"iDR3.HYDRA-0021.020613",150.31617486234467,-25.645810536763108
"iDR3.HYDRA-0019.029812",163.83599049154864,-23.907370522698766
"iDR3.HYDRA-0060.074697",152.29597082811318,-30.13967001641207
"iDR3.STRIPE82-0003.038114",1.6665698868686651,0.04747741129990639
"iDR3.HYDRA-0031.028960",150.7130587849153,-26.807805925702517
"iDR3.SPLUS-n09s38.000044",201.2186674040103,-11.54791194856237
"iDR3.HYDRA-0061.031554",152.9146815510329,-31.04863057531803
"iDR3.STRIPE82-0099.000383",308.90848172898063,-1.3735948611427486
"iDR3.HYDRA-0064.004120",157.83359037194498,-31.48948188875421
"iDR3.SPLUS-s35s45.004701",324.17263982387533,-45.94398173486011
"iDR3.HYDRA-0021.025088",150.31440773830957,-25.56279916973636
"iDR3.HYDRA-0141.081421",158.78923479168898,-42.972255574879775
"iDR3.HYDRA-0025.013889",158.17960341113331,-25.702720230940297
"iDR3.SPLUS-s28s48.000069",316.9019229355131,-36.90285533130202
"iDR3.STRIPE82-0040.011675",27.444657474694633,0.2501617694797464
"iDR3.HYDRA-0084.002539",161.3883037633281,-34.27336354025546
"iDR3.HYDRA-0022.039642",153.50031373306143,-25.241267716050874
"iDR3.SPLUS-n13s07.000014",158.33844599846074,-16.932210919156283
"iDR3.SPLUS-n14s07.053216",158.52844022099433,-16.89226685415695
"iDR3.HYDRA-0039.013171",163.3449876475051,-27.139992963223488
"iDR3.HYDRA-0084.016876",161.39423005856654,-33.99339436443023
"iDR3.HYDRA-0134.072975",159.40977580651818,-41.46984809918167
"iDR3.SPLUS-s28s34.024155",55.85647335502862,-36.07003636635247
"iDR3.SPLUS-s17s30.051911",326.923436863409,-21.013377356796166
"iDR3.HYDRA-0070.034110",153.36874604436503,-32.237889914536076
"iDR3.HYDRA-D-0002.014891",155.80921890870118,-35.11718732528404
"iDR3.STRIPE82-0109.000928",316.57981083001687,-1.3677692123596028
"iDR3.SPLUS-s23s21.007728",314.5268677152485,-30.138358200406397
"iDR3.STRIPE82-0095.000023",305.65565662012915,-1.379255301426233
"iDR3.HYDRA-0011.073716",151.02535350205395,-23.166713931002704
"iDR3.HYDRA-0086.075025",150.52308034709242,-34.256507140933074
"iDR3.HYDRA-0156.022652",159.87249222893143,-46.40274961993336
"iDR3.SPLUS-n12s28.023113",189.2429513667166,-14.863335249139748
"iDR3.HYDRA-0118.000121",161.0177974465539,-39.819466947231554
"iDR3.HYDRA-0055.029299",158.93535787795608,-29.789628509444547
"iDR3.SPLUS-s25s45.023355",70.90506597528633,-32.10941199742046
"iDR3.HYDRA-0111.075690",164.81458381448007,-37.01159148585931
"iDR3.HYDRA-0121.007274",150.36431382690853,-41.073189326543975
"iDR3.SPLUS-s27s47.000284",316.4120535567434,-35.57462618104087
"iDR3.SPLUS-n03s25.014998",183.43415830944113,-3.0591089411962344
"iDR3.SPLUS-n15s05.030293",156.1922208795262,-18.642300862355984
"iDR3.SPLUS-s23s21.012345",315.81034688313594,-30.04078872053611
"iDR3.STRIPE82-0009.004207",5.591884072268045,-1.3065965074642498
"iDR3.SPLUS-n16s12.056594",166.8052119589077,-19.822472037937665
"iDR3.STRIPE82-0091.052056",303.94113570572546,-0.8318492558212386
"iDR3.HYDRA-0118.000187",161.17416113062097,-39.81807603743091
"iDR3.SPLUS-s21s22.000208",318.4351200795311,-27.61625697399496
"iDR3.HYDRA-0012.062510",153.0624222380839,-23.254182223611593
"iDR3.SPLUS-n03n01.044529",151.494198874988,2.98683485363518
"iDR3.SPLUS-s28s35.039399",57.509130564336886,-35.8326311130568
"iDR3.HYDRA-0021.018612",150.31648554781435,-25.670183476761334
"iDR3.SPLUS-s17s30.018065",327.37170525535765,-21.87617578358955
"iDR3.HYDRA-0163.052248",157.35242130447386,-47.61402751103381
"iDR3.HYDRA-0147.022621",156.37943171551407,-45.06578160065995
"iDR3.STRIPE82-0116.031319",320.0164684140071,0.681203207622036
"iDR3.HYDRA-0069.072570",152.6843764697024,-31.498430865038777
"iDR3.STRIPE82-0088.122005",301.0978215799018,1.1690236776307426
