Field,ID,RA,DEC,FWHM,ISOarea,KRON_RADIUS,nDet_magPStotal,PhotoFlagDet,R_PStotal,F660_PStotal,I_PStotal
H,"iDR3.HYDRA-0081.037886",158.01332462581152,-33.510635765432745,6.684685,51,4.1727924,12.0,0,18.139,17.568756,18.81814
S,"iDR3.STRIPE82-0026.050711",17.242995026203268,1.3925796570239284,4.104789,55,6.820391,12.0,1,19.696598,18.41548,20.082726
H,"iDR3.HYDRA-0121.055452",150.3682932785934,-40.49026205178558,3.000967,16,2.202647,11.0,0,19.336868,18.8642,20.540432
H,"iDR3.HYDRA-0129.023475",149.7478475336096,-42.26769266946458,2.1867032,86,3.392119,12.0,3,16.357697,16.407318,19.145956
H,"iDR3.HYDRA-0145.017924",152.45026906210012,-45.13321954408437,3.9963508,14,4.788527,12.0,0,19.865936,18.077347,20.880287
H,"iDR3.HYDRA-D-0003.041544",157.41173439876025,-36.26150065236285,4.4747467,1946,2.604419,12.0,6,11.703348,11.623407,14.056817
H,"iDR3.HYDRA-0011.073820",150.8823454180836,-23.16851954277631,6.1734242,76,1.82,9.0,0,18.45287,18.747944,20.834476
S,"iDR3.SPLUS-s26s38.037434",58.90008134441035,-33.2107124545388,2.5182931,421,0.0,12.0,3,15.780436,15.562138,17.071514
H,"iDR3.HYDRA-0026.018365",159.73480460089112,-25.631021464706063,4.475069,91,3.0450864,12.0,0,15.799352,15.064285,17.07154
S,"iDR3.SPLUS-s29s48.053120",320.1024315448749,-37.035562171048795,5.6864643,25,4.7241893,12.0,3,19.864025,19.160248,20.169958
S,"iDR3.STRIPE82-0027.023036",18.89077699675322,-0.8587455347938298,5.119996,437,3.434494,12.0,3,16.82498,14.995115,17.574333
H,"iDR3.HYDRA-0137.030974",149.10011178767613,-43.62971062532127,2.3441577,429,2.7383428,12.0,3,13.656232,13.965853,16.712284
H,"iDR3.HYDRA-0056.040679",160.54333807171315,-29.445198858507165,2.3066926,29,2.616867,12.0,2,18.884186,18.622036,20.495432
H,"iDR3.HYDRA-0019.029812",163.83599049154864,-23.907370522698766,4.2786837,22,4.365067,12.0,3,19.547165,19.036188,20.17223
S,"iDR3.STRIPE82-0090.164954",301.96020881354997,1.4357992517420628,3.8732753,23,1.82,11.0,0,19.493584,18.980389,19.818193
S,"iDR3.SPLUS-n03s18.007209",174.59468300063068,-3.255086112535046,4.4652605,28,4.6727,12.0,3,19.152256,17.542654,19.727312
S,"iDR3.STRIPE82-0169.030158",357.8153294830434,-5.8998646198314144E-5,3.1357136,12,7.3775544,12.0,0,20.296467,19.53109,20.750835
S,"iDR3.SPLUS-n13s04.008548",155.42092207372565,-16.737509537070316,2.6214108,18,3.807827,12.0,0,19.509312,18.754583,20.12772
S,"iDR3.SPLUS-n17s17.012781",174.94789071139556,-21.955696720076112,4.043398,12,2.0887666,12.0,0,20.12027,19.340813,20.913916
H,"iDR3.HYDRA-0039.013171",163.3449876475051,-27.139992963223488,2.458373,282,3.1576471,12.0,3,15.787263,15.590078,16.92318
S,"iDR3.STRIPE82-0112.031119",318.1915872626275,0.6022337565807521,3.738291,30,4.535544,12.0,0,19.10414,18.403576,20.368557
S,"iDR3.SPLUS-s26s12.024278",18.395545963646896,-33.50064042373719,5.019779,18,3.686205,12.0,0,20.176275,19.652308,20.537758
H,"iDR3.HYDRA-0121.070101",150.35869092036918,-40.31411641152211,5.1908917,319,2.869378,12.0,0,13.606185,13.501034,16.402245
H,"iDR3.HYDRA-0051.028758",153.58989696083984,-29.49495910126087,2.4269106,7,3.3129098,11.0,0,20.473417,19.909058,20.751343
S,"iDR3.SPLUS-n15s21.016839",178.05431943383525,-19.209141541172368,2.6693866,290,0.0,12.0,3,16.49841,15.940748,17.52542
H,"iDR3.HYDRA-0084.059170",162.79818641175822,-32.89480133556277,2.561172,19,1.82,11.0,0,19.446028,18.860422,20.627882
H,"iDR3.HYDRA-0129.024115",149.74265674434176,-42.26113234618966,2.663152,50,3.4773953,12.0,2,17.326038,17.26268,18.829777
S,"iDR3.SPLUS-s25s09.043816",11.994479645329305,-31.97850191723796,4.524717,86,5.5590267,12.0,3,18.45972,16.515938,19.61824
H,"iDR3.HYDRA-D-0001.063377",157.41004420914481,-34.644940940472445,2.3392286,49,2.55009,11.0,3,18.649496,18.37271,20.066813
S,"iDR3.SPLUS-n16s02.005530",153.38977537009552,-20.760159574720795,4.6614237,67,4.0008035,12.0,2,17.595455,17.215286,18.844437
H,"iDR3.HYDRA-0061.075257",154.08864092816754,-30.10785283023747,1.8078572,18,1.82,11.0,0,18.75935,18.01262,19.916689
H,"iDR3.HYDRA-0069.085456",151.91113039164756,-31.500154416102355,2.7193708,54,3.5763972,12.0,0,17.559849,17.121569,18.565344
H,"iDR3.HYDRA-0137.060186",149.0991717471123,-43.37617081439304,2.8213322,12,2.9821892,12.0,0,19.392887,18.991367,20.056213
S,"iDR3.STRIPE82-0091.009936",303.9444563106612,-1.276610122552743,3.64556,40,3.7777686,12.0,0,17.870277,17.328434,18.862362
S,"iDR3.STRIPE82-0011.044959",7.792082121296877,-0.26257457705527415,4.7361956,61,3.696614,12.0,2,18.80146,18.714127,20.205044
S,"iDR3.STRIPE82-0076.006124",53.15637348569088,0.13944302553720572,4.1918306,87,3.2080286,11.0,0,16.85218,16.449184,17.482122
S,"iDR3.SPLUS-s17s30.051911",326.923436863409,-21.013377356796166,2.6949403,10,3.5587797,12.0,0,20.375015,19.19207,20.79131
H,"iDR3.HYDRA-0033.054699",154.60886952514295,-26.49148368874366,1.6698339,250,0.0,12.0,3,17.976593,16.44228,18.528126
S,"iDR3.STRIPE82-0089.066914",302.5212708715713,-0.6631487360802586,3.5155478,25,2.9111238,12.0,2,18.910297,18.35139,19.836145
H,"iDR3.HYDRA-0121.086310",150.35825871223687,-40.101886131816514,3.092225,22,3.8304906,12.0,0,18.592297,18.442505,20.762001
S,"iDR3.STRIPE82-0081.000469",56.74434733851235,-1.373460888074831,3.9684453,125,3.2620661,12.0,0,17.427824,16.608978,17.97182
S,"iDR3.SPLUS-s17s23.010277",317.2079549840881,-22.096342364756048,3.2589316,41,5.166801,12.0,3,19.423807,18.31234,20.604671
H,"iDR3.HYDRA-0131.106632",155.4614110165094,-41.3295727861573,3.3357646,9,3.6691985,11.0,0,20.332653,19.591637,20.88554
S,"iDR3.STRIPE82-0092.007511",303.4123859899806,0.10847320576169187,4.0566416,13,1.82,11.0,0,19.837921,19.197388,20.126045
H,"iDR3.HYDRA-0129.047481",149.7425383099921,-42.02832263651119,6.077246,1432,2.504225,12.0,6,11.936606,11.810702,17.809795
S,"iDR3.SPLUS-n12s02.043088",152.7586596162104,-14.676904418251612,3.3843453,111,3.7923496,12.0,3,17.86271,15.993084,18.626049
H,"iDR3.HYDRA-0158.015093",163.89722028194223,-46.50784450488018,2.1786628,30,3.0900822,12.0,2,18.180824,16.896517,19.79371
S,"iDR3.SPLUS-s25s45.006279",70.43547151856541,-32.71316846642457,2.8649871,16,5.39934,12.0,0,19.534624,18.76458,19.99099
S,"iDR3.SPLUS-s22s32.025553",333.2185453116102,-28.435676734957944,3.0277824,10,4.102547,12.0,0,19.993034,19.001492,20.592567
H,"iDR3.HYDRA-0138.069944",153.02509389224338,-43.19618212622167,3.0469108,16,2.7271178,11.0,3,19.848711,18.152699,20.701958
S,"iDR3.SPLUS-n05s03.042012",153.31066930355348,-5.210167217872532,1.8385202,46,3.2748249,12.0,3,16.509499,16.236593,19.000015
H,"iDR3.HYDRA-0121.026089",150.37090341999115,-40.8519484846524,3.995038,26,3.983847,10.0,0,18.70037,18.299675,19.877201
H,"iDR3.HYDRA-0137.035294",149.09973346603618,-43.58932373213561,1.9210037,206,2.868082,12.0,3,15.323331,15.557929,20.817799
H,"iDR3.HYDRA-0066.013836",162.81698797600112,-31.270939296002755,2.4526813,12,3.8706875,12.0,3,19.568703,18.346167,20.26552
H,"iDR3.HYDRA-0117.036794",160.0795511904486,-39.17932981709585,5.9969244,568,3.0263977,12.0,2,13.5637665,13.53137,16.700705
H,"iDR3.HYDRA-0163.022292",157.35858005537395,-47.82882047721658,3.9198546,11,3.65034,12.0,2,20.330694,18.395096,20.91121
S,"iDR3.SPLUS-n10s35.037236",198.5143258035405,-11.93240713572166,4.30802,14,3.0932553,12.0,0,20.445103,19.63302,20.809551
H,"iDR3.HYDRA-0055.103087",159.71572526234496,-28.73551290526178,3.9026406,99,2.513288,11.0,0,17.593079,17.412132,18.704979
S,"iDR3.SPLUS-s26s44.000936",70.25948809877283,-34.22704098131671,3.4090924,56,3.5881863,12.0,2,17.865677,17.051985,19.364927
S,"iDR3.SPLUS-s17s30.018065",327.37170525535765,-21.87617578358955,4.7498975,103,3.8120136,12.0,2,17.572716,16.35183,18.546661
H,"iDR3.HYDRA-0036.025605",158.60707177776573,-26.843964133495795,2.370869,24,4.3597813,10.0,0,18.705223,18.54299,20.15937
S,"iDR3.SPLUS-n13s32.026048",193.6363035969289,-16.351049269931643,2.271038,11,5.640981,12.0,0,20.434984,19.133415,20.93494
H,"iDR3.HYDRA-0021.020613",150.31617486234467,-25.645810536763108,1.8830459,334,2.9520853,12.0,2,15.215273,15.198086,18.725105
H,"iDR3.HYDRA-0098.052576",157.3761036000454,-36.216253723376845,3.2619429,19,3.559609,12.0,3,19.476921,18.526823,20.440475
H,"iDR3.HYDRA-0121.056916",150.36823910881648,-40.48342608618111,2.8685102,676,2.9303048,12.0,2,13.64583,13.358751,15.3776245
S,"iDR3.SPLUS-s27s34.029847",55.08871476251146,-34.65158064066873,3.2883317,10,2.0124524,10.0,0,20.265278,19.658266,20.59335
S,"iDR3.SPLUS-n09s38.000058",201.21639844747187,-11.54784421395066,5.209396,9,1.82,10.0,3,17.7569,17.289715,19.854221
H,"iDR3.HYDRA-0107.039834",158.69666579164382,-37.59887673758166,4.4539084,40,4.2383456,12.0,2,18.321772,17.74799,18.98975
H,"iDR3.HYDRA-0064.056844",158.91174473479245,-30.109512113217335,3.457069,35,2.7966013,10.0,0,17.638681,17.32051,19.577435
H,"iDR3.HYDRA-0143.077982",162.45251172981352,-42.9691171043318,4.781012,17,4.581516,12.0,0,20.237492,18.703081,20.851673
H,"iDR3.HYDRA-D-0002.000010",156.04765963243705,-35.34263800259103,2.3203833,24,3.7035773,6.0,3,19.122917,18.82214,19.951107
S,"iDR3.SPLUS-s29s46.072842",316.47319569385303,-37.14456181858315,1.896335,129,3.1229312,12.0,0,17.030285,16.201042,17.552546
S,"iDR3.SPLUS-s31s44.000221",316.90733897290426,-40.83860097310526,2.7343493,22,3.9050827,10.0,0,20.002865,19.383806,20.43435
S,"iDR3.SPLUS-n15s20.042930",177.11120124325876,-18.50628940436583,2.0577223,21,4.521053,12.0,0,19.21576,17.05995,19.86952
H,"iDR3.HYDRA-0145.049153",152.4442356202359,-44.89376161920983,4.823144,20,4.6435,12.0,2,19.76215,18.376759,20.869768
S,"iDR3.SPLUS-n16s15.043877",172.10262014941057,-20.03071315120004,4.803481,33,5.6829348,12.0,0,19.554974,18.356884,20.185383
H,"iDR3.HYDRA-0137.149222",149.95887794905747,-42.48146869819253,3.9927647,57,3.4575012,11.0,3,18.73743,17.997269,19.466238
H,"iDR3.HYDRA-0156.002588",159.87758276927772,-46.606048036816254,4.7415657,17,5.7409153,11.0,2,19.290167,18.61483,20.507267
S,"iDR3.STRIPE82-0089.132743",302.5138157034115,-0.10884798671702747,5.6092634,11,2.7467144,12.0,0,20.329369,19.422855,20.999882
H,"iDR3.HYDRA-0152.142322",151.80873190391839,-45.62252366966431,5.606262,13,3.573645,12.0,3,19.235783,17.024542,20.34506
H,"iDR3.HYDRA-0152.147333",151.8073884426182,-45.58832980669175,4.5290146,48,5.458944,12.0,2,18.882793,18.10037,19.946404
S,"iDR3.SPLUS-s35s45.004701",324.17263982387533,-45.94398173486011,3.6068668,15,3.670386,12.0,0,20.083755,19.456068,20.572334
H,"iDR3.HYDRA-0093.073006",161.98245401935384,-34.59259737461205,1.6331022,49,0.0,12.0,3,16.37556,15.965195,17.615528
H,"iDR3.HYDRA-0123.027563",155.9892590457165,-40.82734842411913,3.120534,14,1.8541598,10.0,0,19.830109,18.794659,20.327606
H,"iDR3.HYDRA-0025.013889",158.17960341113331,-25.702720230940297,3.3789115,19,3.889422,11.0,0,19.86266,18.730268,20.999619
H,"iDR3.HYDRA-0011.066566",150.32352457772527,-23.175435217832618,4.1982293,298,2.5925863,12.0,2,14.406248,14.369801,17.369287
H,"iDR3.HYDRA-0104.042425",151.5965106312249,-37.815402767820906,3.1315901,238,3.4541073,9.0,3,15.736358,15.644485,17.37714
H,"iDR3.HYDRA-0060.074697",152.29597082811318,-30.13967001641207,3.537456,42,3.497089,12.0,2,18.321346,17.809269,18.799644
S,"iDR3.STRIPE82-0003.038114",1.6665698868686651,0.04747741129990639,3.258765,20,1.82,10.0,0,18.90485,17.823679,20.148949
H,"iDR3.HYDRA-0031.028960",150.7130587849153,-26.807805925702517,2.5953765,55,3.3225007,11.0,2,18.471449,17.872795,19.028532
H,"iDR3.HYDRA-0061.031554",152.9146815510329,-31.04863057531803,2.0874598,743,2.651419,12.0,2,14.022472,13.816579,17.75994
H,"iDR3.HYDRA-0034.000945",156.8924500671813,-27.390251030201163,5.1579723,643,2.5144198,9.0,6,13.435751,13.416096,17.016945
H,"iDR3.HYDRA-0026.052331",158.85933642579576,-24.753136157195524,3.7604105,152,5.4802113,12.0,3,17.968056,16.230621,18.671417
H,"iDR3.HYDRA-0022.039642",153.50031373306143,-25.241267716050874,3.5129116,14,3.8616807,10.0,0,19.67437,18.379549,20.803268
S,"iDR3.STRIPE82-0099.000383",308.90848172898063,-1.3735948611427486,2.6065133,64,2.7522554,11.0,0,18.585901,18.01471,20.24244
S,"iDR3.SPLUS-n02s27.030508",186.59798824693982,-1.2522238258898684,6.877187,108,6.543506,12.0,3,19.13391,17.596834,19.72733
H,"iDR3.HYDRA-0011.073716",151.02535350205395,-23.166713931002704,4.4331264,117,2.7351406,12.0,2,15.57645,15.293367,18.143543
H,"iDR3.HYDRA-0064.004120",157.83359037194498,-31.48948188875421,3.6788416,2346,2.2476895,12.0,6,11.719139,11.605914,15.595887
H,"iDR3.HYDRA-0021.025088",150.31440773830957,-25.56279916973636,2.5476809,91,3.4900181,11.0,2,16.838854,16.82576,20.130436
S,"iDR3.SPLUS-s13s46.028473",348.08138382562527,-16.292385542490308,3.5321977,13,3.6771545,12.0,0,20.260952,19.359077,20.646088
S,"iDR3.SPLUS-n17s02.027149",151.8708726412487,-21.7250381049027,3.3491194,29,3.6285365,12.0,0,19.45517,18.282562,19.849663
H,"iDR3.HYDRA-0141.081421",158.78923479168898,-42.972255574879775,3.3164067,18,3.7768662,11.0,0,19.563866,18.361574,20.606098
S,"iDR3.SPLUS-s28s48.000069",316.9019229355131,-36.90285533130202,3.7481081,20,4.505249,12.0,0,20.186382,18.721231,20.666199
S,"iDR3.STRIPE82-0040.011675",27.444657474694633,0.2501617694797464,3.6535954,2,10.846841,6.0,2,18.968245,18.155674,19.418697
H,"iDR3.HYDRA-0084.002539",161.3883037633281,-34.27336354025546,3.0264342,230,2.94942,12.0,2,14.728188,14.700424,20.651756
S,"iDR3.SPLUS-n13s07.000014",158.33844599846074,-16.932210919156283,3.9184592,34,4.253988,12.0,0,19.464235,18.323238,20.561054
S,"iDR3.SPLUS-n14s07.053216",158.52844022099433,-16.89226685415695,4.4371734,25,4.101459,12.0,0,19.820112,18.317627,20.558315
H,"iDR3.HYDRA-0084.016876",161.39423005856654,-33.99339436443023,2.79651,16,2.229174,9.0,0,19.153633,19.173996,20.86961
H,"iDR3.HYDRA-0134.072975",159.40977580651818,-41.46984809918167,3.142388,27,6.837754,12.0,0,19.168808,17.2533,20.080692
S,"iDR3.SPLUS-s28s34.024155",55.85647335502862,-36.07003636635247,6.3283644,40,1.8434432,12.0,2,19.404541,18.262663,20.27273
H,"iDR3.HYDRA-0070.034110",153.36874604436503,-32.237889914536076,3.2926705,1285,2.5995936,11.0,4,12.451521,12.142988,16.277521
H,"iDR3.HYDRA-D-0002.014891",155.80921890870118,-35.11718732528404,2.6920266,28,4.3850718,11.0,2,19.0158,18.982933,20.627213
S,"iDR3.STRIPE82-0109.000928",316.57981083001687,-1.3677692123596028,5.0114293,109,3.5859177,10.0,2,17.340878,17.284805,20.435684
S,"iDR3.SPLUS-s23s21.007728",314.5268677152485,-30.138358200406397,1.9913847,11,2.468911,12.0,0,19.89722,18.923594,20.384926
S,"iDR3.STRIPE82-0095.000023",305.65565662012915,-1.379255301426233,5.194069,26,3.8525338,8.0,0,19.205389,18.426231,19.597204
H,"iDR3.HYDRA-0086.075025",150.52308034709242,-34.256507140933074,5.7420216,71,1.82,12.0,2,17.799889,17.684818,19.12084
S,"iDR3.SPLUS-n07s43.015179",208.77190793029135,-8.503259268717619,3.6226714,14,4.367817,11.0,0,20.330124,19.768726,20.682962
S,"iDR3.SPLUS-n11s41.000265",205.9829614940105,-14.235630085488037,2.1664615,137,2.916072,12.0,0,17.273724,16.89394,20.580767
H,"iDR3.HYDRA-0156.022652",159.87249222893143,-46.40274961993336,6.4234853,76,4.3617687,12.0,2,18.47975,18.11438,19.220795
S,"iDR3.SPLUS-n18s15.021466",171.72969744006403,-23.115863521274214,3.355186,17,5.2515984,12.0,0,20.197472,18.997356,20.60457
S,"iDR3.SPLUS-n12s28.023113",189.2429513667166,-14.863335249139748,4.7841935,7,4.907548,11.0,0,20.418705,19.880672,20.747406
