Field,ID,RA,DEC,FWHM,ISOarea,KRON_RADIUS,nDet_magPStotal,PhotoFlagDet,U_PStotal,F378_PStotal,F395_PStotal,F410_PStotal,F430_PStotal,G_PStotal,F515_PStotal,R_PStotal,F660_PStotal,I_PStotal,F861_PStotal,Z_PStotal,e_U_PStotal,e_F378_PStotal,e_F395_PStotal,e_F410_PStotal,e_F430_PStotal,e_G_PStotal,e_F515_PStotal,e_R_PStotal,e_F660_PStotal,e_I_PStotal,e_F861_PStotal,e_Z_PStotal
S,"iDR3.SPLUS-n17s17.012781",174.94789071139556,-21.955696720076112,4.043398,12,2.0887666,12.0,0,21.973381,21.301159,21.75235,21.25174,21.575819,20.834618,20.54728,20.12027,19.340813,20.913916,19.076612,21.305979,0.38532525,0.32275215,0.78584045,0.4989513,0.6520658,0.1278684,0.20439143,0.05991313,0.034895487,0.14918333,0.06019206,0.37208354
S,"iDR3.SPLUS-n05s03.042012",153.31066930355348,-5.210167217872532,1.8385202,46,3.2748249,12.0,3,20.61391,20.32259,19.798208,19.174618,18.819502,17.781063,17.609434,16.509499,16.236593,19.000015,15.668281,15.435765,0.086963266,0.116239645,0.118770085,0.06487869,0.04907001,0.010319713,0.018418295,0.004815214,0.0047122957,0.024234567,0.0054972265,0.0036241799
S,"iDR3.SPLUS-n09s38.000058",201.21639844747187,-11.54784421395066,5.209396,9,1.82,10.0,3,21.238232,20.580427,21.089703,18.39927,16.737652,99.0,20.980335,17.7569,17.289715,19.854221,99.0,19.12329,0.18607114,0.1596776,0.4053819,0.040898837,0.01473904,22.474686,0.26655364,0.00987574,0.008629644,0.06968471,20.945951,0.07151859
S,"iDR3.SPLUS-n10s35.037236",198.5143258035405,-11.93240713572166,4.30802,14,3.0932553,12.0,0,21.277615,20.896734,20.964561,21.231682,21.71444,20.75418,20.67595,20.445103,19.63302,20.809551,19.748764,20.418873,0.17160606,0.19750646,0.40870425,0.40058348,0.6107991,0.092722364,0.18687536,0.07359564,0.044488706,0.13466066,0.13836505,0.17846885
S,"iDR3.STRIPE82-0112.031119",318.1915872626275,0.6022337565807521,3.738291,30,4.535544,12.0,0,20.544964,20.67649,20.424725,19.943745,19.798473,19.961836,18.988333,19.10414,18.403576,20.368557,18.183737,18.707592,0.106518276,0.16877554,0.26607752,0.12772143,0.1056824,0.04216759,0.045700993,0.02369377,0.017078493,0.09676027,0.0315443,0.041114748
H,"iDR3.HYDRA-0051.028758",153.58989696083984,-29.49495910126087,2.4269106,7,3.3129098,11.0,0,22.47671,99.0,22.842833,20.481455,21.6092,20.597794,20.026474,20.473417,19.909058,20.751343,21.022398,20.694324,0.9479415,21.392927,2.8077598,0.3069649,0.8318405,0.14412616,0.15504946,0.111017615,0.09077306,0.17160885,0.4791116,0.2877971
S,"iDR3.SPLUS-n16s15.043877",172.10262014941057,-20.03071315120004,4.803481,33,5.6829348,12.0,0,20.880753,20.83543,20.770897,19.881882,20.073627,20.219036,19.28083,19.554974,18.356884,20.185383,18.028236,22.827362,0.11010761,0.16995604,0.24762286,0.10611707,0.12133481,0.04626463,0.050894815,0.02876328,0.01584447,0.06897329,0.025872022,1.4971311
H,"iDR3.HYDRA-0084.059170",162.79818641175822,-32.89480133556277,2.561172,19,1.82,11.0,0,20.38245,99.0,22.997562,20.480827,20.422379,23.434593,19.655178,19.446028,18.860422,20.627882,19.187374,18.685768,0.13078658,21.30178,3.4372652,0.33460715,0.2952097,1.6788586,0.120836645,0.040849715,0.029809155,0.13202569,0.08097328,0.040475555
S,"iDR3.SPLUS-s25s09.043816",11.994479645329305,-31.97850191723796,4.524717,86,5.5590267,12.0,3,19.22092,18.9649,18.615496,19.087992,18.793688,18.15969,17.890259,18.45972,16.515938,19.61824,19.512913,19.395956,0.03560546,0.048768707,0.060596596,0.073346,0.06614122,0.014819863,0.02763911,0.01535897,0.005909504,0.046240542,0.08897377,0.0740611
S,"iDR3.SPLUS-n16s02.005530",153.38977537009552,-20.760159574720795,4.6614237,67,4.0008035,12.0,2,19.146568,18.720758,18.604088,17.875114,17.920177,18.01617,17.25896,17.595455,17.215286,18.844437,16.99141,18.568157,0.070207804,0.06507078,0.09844265,0.057460655,0.052501336,0.026705775,0.028570522,0.013086047,0.010409686,0.035178874,0.014491988,0.04484142
S,"iDR3.SPLUS-n17s02.027149",151.8708726412487,-21.7250381049027,3.3491194,29,3.6285365,12.0,0,20.208233,20.062775,19.991795,20.011185,20.069942,19.850595,19.803633,19.45517,18.282562,19.849663,18.68964,19.205626,0.0723853,0.100710765,0.15550889,0.1391177,0.14575684,0.04403188,0.094198406,0.029790042,0.01543869,0.055191144,0.04270633,0.05819301
H,"iDR3.HYDRA-0061.075257",154.08864092816754,-30.10785283023747,1.8078572,18,1.82,11.0,0,21.46996,99.0,21.051296,21.260517,19.535223,24.583677,18.589497,18.75935,18.01262,19.916689,19.819824,17.904188,0.21748903,21.64373,0.43272987,0.45591888,0.090440184,2.3703709,0.03653322,0.016544892,0.012559124,0.05184907,0.11858245,0.018038781
H,"iDR3.HYDRA-0069.085456",151.91113039164756,-31.500154416102355,2.7193708,54,3.5763972,12.0,0,20.068066,20.126026,21.533812,21.92359,20.506186,22.067238,17.534622,17.559849,17.121569,18.565344,16.908098,16.818913,0.06937906,0.11957736,0.6963886,0.8607466,0.23304357,0.25004157,0.018509524,0.008187511,0.007683302,0.021539947,0.012947097,0.009676273
S,"iDR3.STRIPE82-0091.009936",303.9444563106612,-1.276610122552743,3.64556,40,3.7777686,12.0,0,20.917824,19.316202,19.732645,20.018623,19.858707,19.395935,18.411268,17.870277,17.328434,18.862362,17.053547,18.912992,0.17494474,0.065766826,0.13404629,0.1499762,0.12752321,0.032229368,0.034632307,0.011561981,0.008924729,0.02655627,0.013553187,0.04657322
S,"iDR3.STRIPE82-0089.066914",302.5212708715713,-0.6631487360802586,3.5155478,25,2.9111238,12.0,2,20.340946,20.13578,21.240915,19.525444,19.220568,20.207884,19.044521,18.910297,18.35139,19.836145,18.12562,19.8183,0.08137308,0.14634159,0.7530343,0.11568026,0.10609464,0.06748438,0.07252944,0.025214586,0.02008792,0.0673233,0.03682322,0.12143985
S,"iDR3.STRIPE82-0081.000469",56.74434733851235,-1.373460888074831,3.9684453,125,3.2620661,12.0,0,19.476002,20.330204,19.328995,17.937775,17.748344,17.06501,16.84853,17.427824,16.608978,17.97182,16.267387,16.43759,0.05092329,0.14928265,0.09447352,0.028721733,0.02372648,0.0066158515,0.012285169,0.007880344,0.007198828,0.01284699,0.009245936,0.006652862
H,"iDR3.HYDRA-0131.106632",155.4614110165094,-41.3295727861573,3.3357646,9,3.6691985,11.0,0,22.30319,21.606445,99.0,21.003235,21.061642,21.414509,20.465324,20.332653,19.591637,20.88554,19.343376,22.39389,0.5531176,0.46090466,21.076334,0.3656721,0.36922452,0.17530592,0.17134205,0.06427239,0.039803836,0.13989013,0.07849361,1.1134697
S,"iDR3.STRIPE82-0092.007511",303.4123859899806,0.10847320576169187,4.0566416,13,1.82,11.0,0,21.427961,20.733606,99.0,20.823555,20.703407,20.774944,20.520178,19.837921,19.197388,20.126045,19.443466,19.641172,0.41262856,0.48919788,20.44365,0.49478722,0.36015716,0.13366471,0.25498953,0.084482625,0.04925567,0.17417623,0.10924964,0.2525671
H,"iDR3.HYDRA-0129.047481",149.7425383099921,-42.02832263651119,6.077246,1432,2.504225,12.0,6,15.863251,15.606119,15.049309,14.224779,13.791009,12.979217,12.726393,11.936606,11.810702,17.809795,11.337991,11.277071,0.005826058,0.0069013205,0.00724946,0.0041669337,0.0031364427,9.4150146E-4,0.0016342779,5.308787E-4,5.9309247E-4,0.013356376,7.029697E-4,4.871658E-4
S,"iDR3.SPLUS-n12s02.043088",152.7586596162104,-14.676904418251612,3.3843453,111,3.7923496,12.0,3,18.714184,18.018959,18.07288,18.455318,18.386017,17.574417,16.248228,17.86271,15.993084,18.626049,18.644957,18.409195,0.029650928,0.026990402,0.04169876,0.046097517,0.042106465,0.0097067775,0.009514919,0.010081339,0.004289851,0.01920302,0.042471707,0.03354695
S,"iDR3.SPLUS-s27s34.029847",55.08871476251146,-34.65158064066873,3.2883317,10,2.0124524,10.0,0,20.699892,99.0,99.0,24.699581,27.02356,22.272717,19.684029,20.265278,19.658266,20.59335,19.408222,19.852842,0.12770545,22.144016,21.531115,7.421353,58.569168,0.43749687,0.093734086,0.061282735,0.04205841,0.09972039,0.07817448,0.09822084
S,"iDR3.SPLUS-s31s44.000221",316.90733897290426,-40.83860097310526,2.7343493,22,3.9050827,10.0,0,27.173843,99.0,99.0,19.80441,20.535288,19.603466,20.292362,20.002865,19.383806,20.43435,18.990307,19.106041,24.525984,22.41525,21.747568,0.076478444,0.12979454,0.034481317,0.094303496,0.03993135,0.027525678,0.084697954,0.07986875,0.12935603
S,"iDR3.SPLUS-n15s20.042930",177.11120124325876,-18.50628940436583,2.0577223,21,4.521053,12.0,0,21.043755,21.108206,20.061735,21.16479,20.67868,19.066847,21.382275,19.21576,17.05995,19.86952,20.293987,20.227215,0.13919465,0.24189809,0.16313674,0.35512474,0.22165605,0.022987485,0.31725347,0.026361503,0.007338136,0.06762381,0.21570392,0.1944001
H,"iDR3.HYDRA-0026.018365",159.73480460089112,-25.631021464706063,4.475069,91,3.0450864,12.0,0,18.040962,17.782583,17.526217,16.799797,16.537003,20.779747,15.767317,15.799352,15.064285,17.07154,14.767203,18.594784,0.017243449,0.021782108,0.027531488,0.01765426,0.013843841,0.16653223,0.007571537,0.0035230056,0.002795894,0.008251744,0.0036813302,0.04114028
H,"iDR3.HYDRA-0019.029812",163.83599049154864,-23.907370522698766,4.2786837,22,4.365067,12.0,3,20.504932,19.94999,20.614504,19.767958,19.516556,20.7107,19.157707,19.547165,19.036188,20.17223,18.788128,19.763752,0.089094855,0.0933357,0.2654809,0.11776501,0.09101764,0.08013138,0.055867646,0.032305043,0.027869672,0.07582083,0.054827787,0.09982509
H,"iDR3.HYDRA-0031.028960",150.7130587849153,-26.807805925702517,2.5953765,55,3.3225007,11.0,2,21.558489,21.186007,22.316154,21.45007,21.068758,99.0,20.48217,18.471449,17.872795,19.028532,16.535809,16.413464,0.30315536,0.29579774,1.345381,0.51578206,0.33885443,22.833252,0.20196514,0.014658954,0.012022828,0.029066341,0.010273794,0.0071731396
S,"iDR3.SPLUS-n14s07.053216",158.52844022099433,-16.89226685415695,4.4371734,25,4.101459,12.0,0,20.847523,20.634674,20.886883,20.830616,20.791082,20.416042,20.348583,19.820112,18.317627,20.558315,19.32609,19.785421,0.12861706,0.16946587,0.3643062,0.30325451,0.2829626,0.06559848,0.14495654,0.03859837,0.018619575,0.09402931,0.07696328,0.08798006
H,"iDR3.HYDRA-0026.052331",158.85933642579576,-24.753136157195524,3.7604105,152,5.4802113,12.0,3,18.29255,17.825178,18.03318,18.472393,18.202927,17.751724,18.253645,17.968056,16.230621,18.671417,18.82269,18.489796,0.020865891,0.023108665,0.04005364,0.058289867,0.043287147,0.01356932,0.038654324,0.014230467,0.005326035,0.028874993,0.06465467,0.038279127
S,"iDR3.SPLUS-n02s27.030508",186.59798824693982,-1.2522238258898684,6.877187,108,6.543506,12.0,3,19.54543,18.9342,18.953701,19.279884,19.222603,18.922749,18.009304,19.13391,17.596834,19.72733,19.84991,19.492115,0.042218935,0.04380939,0.071541175,0.08048224,0.07291464,0.02294369,0.026282154,0.026973482,0.011376094,0.0633575,0.16850568,0.10055555
H,"iDR3.HYDRA-0158.015093",163.89722028194223,-46.50784450488018,2.1786628,30,3.0900822,12.0,2,19.16288,18.859089,18.72269,18.067068,17.878784,18.564259,17.32848,18.180824,16.896517,19.79371,16.669998,19.702276,0.027871931,0.034510754,0.047813043,0.028918406,0.024976447,0.01522706,0.015130884,0.010927605,0.006409399,0.04375023,0.0095189605,0.07278831
S,"iDR3.SPLUS-s25s45.006279",70.43547151856541,-32.71316846642457,2.8649871,16,5.39934,12.0,0,20.344894,20.612125,20.089924,20.34165,20.072912,19.924461,19.804174,19.534624,18.76458,19.99099,18.876526,19.381844,0.1418945,0.25678447,0.24026354,0.3130093,0.2609292,0.084055215,0.15129454,0.046374623,0.027855894,0.08397031,0.06584987,0.094922595
S,"iDR3.SPLUS-s28s34.024155",55.85647335502862,-36.07003636635247,6.3283644,40,1.8434432,12.0,2,22.050797,21.243872,21.269691,20.889793,20.226082,19.799194,19.51712,19.404541,18.262663,20.27273,17.75092,20.058552,0.50126344,0.32691455,0.52387476,0.38887316,0.20997179,0.056171227,0.09356739,0.03321428,0.017117156,0.086815305,0.022223026,0.14049758
S,"iDR3.SPLUS-s22s32.025553",333.2185453116102,-28.435676734957944,3.0277824,10,4.102547,12.0,0,22.019955,25.558151,20.67542,21.954742,20.906677,26.563957,20.061443,19.993034,19.001492,20.592567,18.156025,21.838573,0.31040332,13.223487,0.31959227,0.86634374,0.31664288,16.09874,0.11655475,0.042167693,0.022149714,0.082433954,0.023588626,0.46488062
H,"iDR3.HYDRA-0138.069944",153.02509389224338,-43.19618212622167,3.0469108,16,2.7271178,11.0,3,99.0,20.139874,20.275959,20.67794,20.339031,19.58399,19.093132,19.848711,18.152699,20.701958,17.85043,19.726255,21.107761,0.24673352,0.3788185,0.52655196,0.35540324,0.07360213,0.090255484,0.07058026,0.020677961,0.16751021,0.02589922,0.11234557
S,"iDR3.SPLUS-n18s15.021466",171.72969744006403,-23.115863521274214,3.355186,17,5.2515984,12.0,0,21.064653,20.7421,20.400566,20.59206,20.965136,20.652586,20.438675,20.197472,18.997356,20.60457,19.976257,19.938839,0.16754197,0.18788986,0.22155023,0.23476326,0.29527152,0.079168,0.14742176,0.059746005,0.026092418,0.12806463,0.15674613,0.1359561
H,"iDR3.HYDRA-0121.026089",150.37090341999115,-40.8519484846524,3.995038,26,3.983847,10.0,0,20.568235,23.179184,99.0,99.0,19.598574,22.999575,20.027441,18.70037,18.299675,19.877201,17.926819,17.919863,0.20220238,3.0330977,20.62915,20.72306,0.17264901,1.5010505,0.20342234,0.027101852,0.0230637,0.07936751,0.029408498,0.022065338
H,"iDR3.HYDRA-0137.035294",149.09973346603618,-43.58932373213561,1.9210037,206,2.868082,12.0,3,17.381247,18.329699,16.782785,17.361431,16.093216,16.176262,20.321236,15.323331,15.557929,20.817799,16.547564,15.243549,0.0134490635,0.036034428,0.018542947,0.02370459,0.010155004,0.0044585774,0.21552877,0.0025868996,0.0035186212,0.155812,0.010159373,0.0033645788
H,"iDR3.HYDRA-0066.013836",162.81698797600112,-31.270939296002755,2.4526813,12,3.8706875,12.0,3,21.904953,22.120808,21.20052,20.447338,20.371338,20.464128,19.694834,19.568703,18.346167,20.26552,17.877567,21.137733,0.3441643,0.60968673,0.40677682,0.19097391,0.17117727,0.064735554,0.080998674,0.033465363,0.015914418,0.092213064,0.025578493,0.37876886
H,"iDR3.HYDRA-0163.022292",157.35858005537395,-47.82882047721658,3.9198546,11,3.65034,12.0,2,20.565302,21.228497,21.893583,20.047195,19.639229,20.032656,18.988327,20.330694,18.395096,20.91121,17.933277,22.186077,0.13462496,0.3612436,1.0074825,0.18809327,0.12774265,0.06606968,0.060476832,0.07468837,0.018364348,0.16752948,0.026718212,0.9971553
S,"iDR3.SPLUS-s28s48.000069",316.9019229355131,-36.90285533130202,3.7481081,20,4.505249,12.0,0,21.79993,22.293417,23.958103,21.640163,21.74313,20.728352,23.189283,20.186382,18.721231,20.666199,18.501524,18.48831,0.27275804,0.661047,5.221874,0.5703279,0.6262359,0.08333129,1.715981,0.062022723,0.025252528,0.1745847,0.058109283,0.05420994
S,"iDR3.SPLUS-n11s39.055025",203.00564059185757,-13.098948286766191,5.609717,23,4.171245,12.0,0,20.829704,20.885874,20.810734,20.962482,21.00279,20.68707,20.266619,19.951694,18.916412,20.373081,19.773731,19.868534,0.12172071,0.20470315,0.31749207,0.31211734,0.31064144,0.08907788,0.1270191,0.052876398,0.02839749,0.10147701,0.19366583,0.12045586
H,"iDR3.HYDRA-0098.052576",157.3761036000454,-36.216253723376845,3.2619429,19,3.559609,12.0,3,20.073753,19.929605,19.849176,19.335178,19.188946,19.658936,18.863237,19.476921,18.526823,20.440475,18.262978,25.153767,0.055719305,0.082692824,0.12426561,0.0737258,0.06558433,0.03430144,0.043227416,0.02613772,0.016309885,0.07474527,0.027382165,10.906328
H,"iDR3.HYDRA-0121.056916",150.36823910881648,-40.48342608618111,2.8685102,676,2.9303048,12.0,2,15.726826,17.172802,15.087378,15.143694,14.24595,18.003729,13.930147,13.64583,13.358751,15.3776245,13.233386,13.251519,0.0056242486,0.017691754,0.0074096094,0.0067563285,0.004113669,0.018082306,0.002968784,0.0012354176,0.0012640837,0.0029801794,0.001772408,0.0012595304
S,"iDR3.SPLUS-s27s47.000284",316.4120535567434,-35.57462618104087,5.7074714,38,4.43525,12.0,0,19.59141,19.447117,20.294329,19.434305,19.774715,18.60191,20.338188,18.928568,17.678333,20.215137,17.504265,18.89985,0.050088003,0.060313422,0.22500569,0.08696335,0.107838646,0.01738559,0.13510607,0.02253073,0.013494912,0.09581603,0.021138545,0.0584872
H,"iDR3.HYDRA-0107.039834",158.69666579164382,-37.59887673758166,4.4539084,40,4.2383456,12.0,2,20.343494,19.761387,19.635096,18.515024,18.756348,18.389496,18.221172,18.321772,17.74799,18.98975,17.51938,18.888794,0.17120989,0.14923483,0.19730218,0.078990415,0.09426485,0.027972227,0.048851267,0.022295237,0.017121485,0.04336888,0.024194624,0.062213093
H,"iDR3.HYDRA-0064.056844",158.91174473479245,-30.109512113217335,3.457069,35,2.7966013,10.0,0,19.493202,99.0,20.100615,99.0,18.3018,21.761967,17.769066,17.638681,17.32051,19.577435,17.226412,17.338795,0.046379484,21.57928,0.23578109,21.141104,0.04127554,0.19903646,0.023024306,0.008871131,0.0097102225,0.050680134,0.018083896,0.01516911
S,"iDR3.SPLUS-n07s43.015179",208.77190793029135,-8.503259268717619,3.6226714,14,4.367817,11.0,0,22.31904,22.378813,21.110794,22.000023,99.0,23.369228,20.985443,20.330124,19.768726,20.682962,19.32669,20.04754,0.33591908,0.5956025,0.3457379,0.67593956,21.621239,0.7548778,0.20577234,0.05403031,0.040020503,0.102170534,0.071952656,0.11068851
S,"iDR3.SPLUS-n03s25.014998",183.43415830944113,-3.0591089411962344,6.4158144,32,7.51585,12.0,3,20.335873,20.383389,19.941402,20.337994,20.353615,19.86142,18.594181,20.182701,19.09472,20.678497,20.24358,20.356703,0.08599592,0.13467436,0.13819535,0.16468565,0.1562068,0.040469173,0.034159757,0.054463945,0.026031807,0.1223226,0.19152519,0.17983428
H,"iDR3.HYDRA-0143.077982",162.45251172981352,-42.9691171043318,4.781012,17,4.581516,12.0,0,20.936604,20.6907,20.086971,20.389406,20.867287,20.277203,19.481583,20.237492,18.703081,20.851673,20.801476,20.902267,0.15890816,0.19731805,0.18073146,0.22633895,0.33303246,0.085119136,0.086295806,0.06592592,0.02279395,0.13641754,0.2878442,0.25973505
S,"iDR3.SPLUS-s29s46.072842",316.47319569385303,-37.14456181858315,1.896335,129,3.1229312,12.0,0,16.42494,16.430645,16.393665,16.536879,16.53376,16.472448,16.822866,17.030285,16.201042,17.552546,17.814537,17.821917,0.0068142773,0.009748232,0.013611945,0.012251621,0.011860475,0.004633833,0.01076348,0.0055436236,0.004280252,0.00793243,0.018399647,0.0136445705
S,"iDR3.SPLUS-n15s05.030293",156.1922208795262,-18.642300862355984,6.6814504,240,3.6809926,12.0,7,11.614327,11.610277,11.617453,11.760632,11.777978,11.790471,12.091759,12.381189,11.574181,12.808997,13.033872,13.039318,7.7615294E-4,0.0010807475,0.0015316516,0.0014254488,0.001421003,6.238322E-4,0.0013724489,7.079685E-4,5.622274E-4,8.710492E-4,0.0016517689,0.0011663871
H,"iDR3.HYDRA-0145.049153",152.4442356202359,-44.89376161920983,4.823144,20,4.6435,12.0,2,20.282473,19.710897,20.00945,19.36192,19.297787,20.114159,18.729622,19.76215,18.376759,20.869768,18.145515,22.617458,0.09077755,0.08311391,0.15576987,0.07909918,0.06977756,0.048656575,0.03775997,0.038298156,0.016331872,0.1362656,0.029439831,1.2696605
H,"iDR3.HYDRA-0137.149222",149.95887794905747,-42.48146869819253,3.9927647,57,3.4575012,11.0,3,20.419281,19.193144,99.0,19.695215,19.710518,21.607841,18.626822,18.73743,17.997269,19.466238,17.64054,17.38388,0.15483624,0.07353763,20.751953,0.15617229,0.1517689,0.3061473,0.050342213,0.022183385,0.015484984,0.047338046,0.022313226,0.013962299
S,"iDR3.SPLUS-n09s38.000059",201.245569648305,-11.547789505317613,3.6501606,7,1.82,9.0,2,21.079746,20.300314,20.832245,19.159758,99.0,99.0,18.372385,18.035503,17.653503,19.461124,21.342684,99.0,0.16245955,0.12646174,0.32383427,0.07153144,21.351223,22.474686,0.03337483,0.011820594,0.010716415,0.04959243,0.68692994,21.215948
H,"iDR3.HYDRA-0156.002588",159.87758276927772,-46.606048036816254,4.7415657,17,5.7409153,11.0,2,20.428686,20.969906,20.943504,19.70337,19.5606,19.73015,18.86902,19.290167,18.61483,20.507267,18.540085,99.0,0.26649433,0.5651032,0.7372101,0.26436767,0.20838244,0.093471035,0.08463496,0.046428725,0.029124437,0.14728446,0.049614668,21.3064
S,"iDR3.STRIPE82-0089.132743",302.5138157034115,-0.10884798671702747,5.6092634,11,2.7467144,12.0,0,20.62558,20.619785,19.693443,20.240433,19.404871,20.991016,19.157299,20.329369,19.422855,20.999882,18.761698,20.656672,0.10210468,0.22177397,0.18871027,0.21469712,0.123849444,0.13207407,0.07970173,0.081285045,0.046024833,0.19304475,0.06345401,0.2633277
S,"iDR3.SPLUS-s28s35.039399",57.509130564336886,-35.8326311130568,5.054286,15,6.909794,12.0,0,22.15931,21.99388,20.675947,20.900072,21.517681,21.627768,21.008312,20.354088,19.549965,20.875385,18.698065,19.33482,0.43675205,0.6296197,0.39856488,0.32996517,0.5527777,0.19448647,0.4350309,0.060826547,0.062490538,0.1918726,0.048181534,0.0963986
H,"iDR3.HYDRA-0152.142322",151.80873190391839,-45.62252366966431,5.606262,13,3.573645,12.0,3,18.394562,18.090988,17.919876,17.589912,17.51095,18.23215,17.220455,19.235783,17.024542,20.34506,17.02867,20.611671,0.023395682,0.027335266,0.035434578,0.024715036,0.022683317,0.013748079,0.015541259,0.025709184,0.007505893,0.08594419,0.013728297,0.19581354
H,"iDR3.HYDRA-0152.147333",151.8073884426182,-45.58832980669175,4.5290146,48,5.458944,12.0,2,20.121216,19.729155,19.36066,19.113129,19.06289,18.74906,18.46457,18.882793,18.10037,19.946404,17.718922,19.835396,0.07950375,0.08547499,0.0973181,0.068543494,0.063511245,0.018969204,0.033095405,0.01984012,0.014230199,0.06062484,0.02251556,0.09713497
H,"iDR3.HYDRA-0093.073006",161.98245401935384,-34.59259737461205,1.6331022,49,0.0,12.0,3,20.536243,20.181965,19.762215,18.933392,18.773361,17.63763,17.463083,16.37556,15.965195,17.615528,15.003284,14.901514,0.11425521,0.13900092,0.15952444,0.069348246,0.05829561,0.009400023,0.018309515,0.004196661,0.0041334582,0.009605063,0.0040361653,0.0027081273
S,"iDR3.SPLUS-n15s12.006795",165.9565453013735,-19.48303098308718,3.4143138,18,4.9992266,12.0,3,21.087412,20.937246,20.538149,20.749638,20.924026,20.735239,20.932648,20.371477,19.50076,20.780756,20.213165,20.071579,0.11328788,0.16922487,0.21253707,0.22498398,0.24964899,0.067525,0.19034092,0.05224251,0.033936962,0.11318184,0.14998136,0.12207762
H,"iDR3.HYDRA-0123.027563",155.9892590457165,-40.82734842411913,3.120534,14,1.8541598,10.0,0,99.0,99.0,22.158314,20.745632,21.065798,20.188837,20.064293,19.830109,18.794659,20.327606,18.365843,20.216637,21.660103,21.295958,1.4221298,0.4100148,0.49196327,0.08853772,0.15954192,0.05248755,0.023801921,0.10573528,0.040275835,0.18085992
H,"iDR3.HYDRA-0060.074697",152.29597082811318,-30.13967001641207,3.537456,42,3.497089,12.0,2,19.787909,19.60041,19.009214,19.443083,18.93932,18.759356,18.545574,18.321346,17.809269,18.799644,18.08757,16.180489,0.06380142,0.08231326,0.07339944,0.106885456,0.06721697,0.024087656,0.04003017,0.015016524,0.01570267,0.024703644,0.029094897,0.005654792
S,"iDR3.STRIPE82-0003.038114",1.6665698868686651,0.04747741129990639,3.258765,20,1.82,10.0,0,20.1833,99.0,99.0,23.418072,19.704975,19.338911,18.344885,18.90485,17.823679,20.148949,17.647871,21.268349,0.08138906,21.489403,21.004795,3.829,0.12532741,0.028028628,0.03608855,0.020512646,0.013101255,0.074005954,0.024323048,0.38720915
H,"iDR3.HYDRA-0061.031554",152.9146815510329,-31.04863057531803,2.0874598,743,2.651419,12.0,2,17.70934,24.227488,16.737236,16.082918,15.587395,20.031227,16.688587,14.022472,13.816579,17.75994,17.85305,13.328583,0.012711776,4.7605305,0.015815105,0.00987853,0.007072364,0.04327297,0.010983839,0.0013899325,0.0014904458,0.01029765,0.023329059,0.0012687355
S,"iDR3.STRIPE82-0099.000383",308.90848172898063,-1.3735948611427486,2.6065133,64,2.7522554,11.0,0,99.0,19.750908,19.59743,19.160217,18.783426,18.478535,18.2611,18.585901,18.01471,20.24244,17.761997,18.051111,22.47083,0.05341144,0.06343129,0.03614077,0.025809364,0.010604676,0.016020894,0.01217203,0.0074353646,0.066304125,0.015108702,0.013482819
S,"iDR3.SPLUS-s23s21.012345",315.81034688313594,-30.04078872053611,2.2015095,60,3.0268,12.0,3,19.463596,19.15105,19.027796,18.042683,17.88633,18.125647,17.103378,17.2445,16.18232,18.563934,15.786913,21.537865,0.050115854,0.05234334,0.075487345,0.03506402,0.037124846,0.014933473,0.01503359,0.007305515,0.0047526867,0.021925021,0.0063372888,0.51495457
S,"iDR3.SPLUS-s32s43.044670",316.13889326362374,-41.31680090947594,2.6473017,165,3.548641,12.0,2,19.042995,18.818699,18.395191,17.828669,17.660145,17.115517,16.996664,16.485435,16.38835,19.539814,16.125095,16.108364,0.027787138,0.03547206,0.04131603,0.02390347,0.021508636,0.006986826,0.012395461,0.004596433,0.004799479,0.05208153,0.007148511,0.0054871566
S,"iDR3.SPLUS-n08s38.007779",202.57544791378788,-10.061099281143985,6.171308,552,5.4768605,12.0,3,18.790298,17.972187,18.413073,18.46172,18.562002,18.216476,17.099813,18.179132,16.631683,18.63451,18.597507,18.535072,0.03056263,0.029462865,0.06518665,0.059947085,0.06113695,0.017620994,0.018893111,0.015342827,0.0073622423,0.026171178,0.059614446,0.04072967
H,"iDR3.HYDRA-0064.004120",157.83359037194498,-31.48948188875421,3.6788416,2346,2.2476895,12.0,6,13.947915,13.7080765,13.307412,12.832817,12.586997,12.213539,12.005629,11.719139,11.605914,15.595887,11.51338,11.4959545,0.0020384998,0.0026843455,0.0032178385,0.0022559976,0.0019003288,6.925107E-4,0.0012304445,4.967043E-4,6.0011947E-4,0.0033023243,8.698223E-4,5.677257E-4
H,"iDR3.HYDRA-0033.054699",154.60886952514295,-26.49148368874366,1.6698339,250,0.0,12.0,3,20.865332,20.600372,19.93927,19.040346,18.919996,17.995174,17.923386,17.976593,16.44228,18.528126,15.777887,15.881899,0.08827239,0.112183735,0.09674621,0.04117737,0.036107592,0.008533286,0.015704911,0.0076048593,0.0038958488,0.01245801,0.004239022,0.0032777388
S,"iDR3.SPLUS-n15s17.046730",172.89437567103894,-18.208436773501376,2.9116886,14,3.6465387,12.0,0,21.031906,20.83833,20.672844,20.928135,20.379597,20.559732,20.701897,20.230251,19.689537,20.542627,19.675745,20.239914,0.12574734,0.16975728,0.25405115,0.29320687,0.17769223,0.0682459,0.17800295,0.054904047,0.041392833,0.104673296,0.103586465,0.15437251
