Field,ID,RA,DEC,FWHM,ISOarea,KRON_RADIUS,nDet_magPStotal,PhotoFlagDet,U_PStotal,F378_PStotal,F395_PStotal,F410_PStotal,F430_PStotal,G_PStotal,F515_PStotal,R_PStotal,F660_PStotal,I_PStotal,F861_PStotal,Z_PStotal,e_U_PStotal,e_F378_PStotal,e_F395_PStotal,e_F410_PStotal,e_F430_PStotal,e_G_PStotal,e_F515_PStotal,e_R_PStotal,e_F660_PStotal,e_I_PStotal,e_F861_PStotal,e_Z_PStotal
H,"iDR3.HYDRA-D-0001.134024",157.9802219963947,-33.90828731046859,3.7859423,47,1.82,9.0,0,99.0,21.381235,99.0,99.0,21.849224,19.071678,19.17778,18.792168,18.096874,19.630417,18.517832,18.561314,22.913702,0.20309237,21.679203,21.863127,0.4539673,0.012811372,0.034928586,0.010141147,0.007816501,0.025069162,0.022135254,0.018106133
S,"iDR3.STRIPE82-0007.023673",3.6199743565125737,-0.7455029176005269,6.947414,54,6.820581,12.0,3,20.414774,19.57137,19.817759,20.131863,20.211803,19.47428,18.22194,19.68985,18.056273,20.256641,20.911356,20.125168,0.09961308,0.08070308,0.1491635,0.15234308,0.15659384,0.029444713,0.027880833,0.036885932,0.013264649,0.073845275,0.3402053,0.1227189
S,"iDR3.SPLUS-n19s01.006916",164.25184149386763,-24.798683830436467,2.3857658,12,1.82,12.0,0,20.854326,21.097782,21.129694,20.619698,21.476242,20.677906,20.785294,20.045218,19.412052,20.549665,19.87741,19.874079,0.1672395,0.37830293,0.57685053,0.34573832,0.74676305,0.11476129,0.29493362,0.060500313,0.039943404,0.14339782,0.14975953,0.14658304
S,"iDR3.SPLUS-s24s61.017859",334.16969990165353,-31.240107171328066,5.549021,18,2.0872056,12.0,3,21.437489,21.344728,20.780304,21.930656,20.853962,21.282692,21.088142,20.530664,19.947102,20.819887,20.18023,20.265114,0.19826934,0.32171005,0.3418126,0.7779911,0.28325742,0.12452018,0.25581396,0.06858482,0.049173366,0.12889376,0.1569367,0.14569058
H,"iDR3.HYDRA-0013.048992",154.60806176511605,-23.671327441386886,3.0364614,10,2.8091714,12.0,0,22.511158,21.89058,21.173405,21.44347,24.906837,21.36742,21.010818,20.404266,19.462296,20.919624,18.275923,20.150684,0.45565644,0.43363917,0.38624048,0.4645252,9.668994,0.13599543,0.22112098,0.06145939,0.036615547,0.14723426,0.03425616,0.1447889
S,"iDR3.SPLUS-n02n28.033705",186.9424382125147,1.6010802406287115,4.604931,32,6.2916613,12.0,3,20.006367,19.627232,19.658371,19.82733,19.813095,19.627691,19.767626,19.71866,18.319466,20.15703,19.670094,20.31224,0.0623335,0.07569993,0.12309353,0.12176843,0.11621479,0.036621816,0.0875015,0.038029943,0.016061796,0.07819101,0.11979661,0.17721015
S,"iDR3.STRIPE82-0017.050248",11.474492098558706,-0.1992573167745287,5.512318,14,5.108313,12.0,0,22.230795,21.334984,21.419544,21.466915,22.510384,21.194592,21.101624,20.555079,20.068697,20.879406,20.095835,20.492695,0.5011514,0.31887743,0.5299902,0.4509801,1.0830611,0.11842275,0.25154123,0.07069289,0.053488165,0.1304403,0.15309928,0.20971577
H,"iDR3.HYDRA-0077.000664",150.69286744299933,-34.28577539761965,4.478303,37,3.384392,8.0,0,99.0,99.0,99.0,21.776535,99.0,21.314444,22.231834,19.114214,18.577152,19.591496,18.772165,18.463388,22.142832,21.559258,20.926273,0.83367383,21.231247,0.16135834,0.9740893,0.024984326,0.020661825,0.044535007,0.047377367,0.029288588
S,"iDR3.SPLUS-s23s33.051468",334.1253072836468,-29.01480498338059,4.5215006,16,5.575469,12.0,0,21.56544,22.45222,21.331045,21.225397,21.343946,20.704802,20.268478,19.776596,17.750317,20.807096,18.880436,19.635506,0.36915305,1.3009527,0.72907174,0.6283499,0.6985514,0.1526625,0.20590258,0.053098608,0.012932267,0.14580694,0.053766638,0.08921374
H,"iDR3.HYDRA-0052.018558",154.08925296635758,-29.85986890487721,2.4366207,62,3.9094462,11.0,3,21.702898,24.58506,20.484568,21.982368,20.03213,25.695978,20.453344,17.89144,17.72511,20.834179,99.0,17.317375,0.25274324,6.7112184,0.27360678,0.9449667,0.15159787,6.4913974,0.17934094,0.009829747,0.011254802,0.13079908,21.171587,0.013091795
H,"iDR3.HYDRA-0106.040045",156.9261644241479,-37.682411356469395,6.8371377,28,4.8146286,12.0,2,21.805447,20.643373,20.547731,20.621243,20.343937,19.6203,19.375366,19.866385,19.10152,20.72963,19.082552,20.5451,0.7653067,0.35451552,0.35441396,0.31405643,0.22987118,0.04583218,0.08343901,0.05693062,0.03482145,0.17699574,0.06724534,0.23429085
H,"iDR3.HYDRA-0140.073990",156.85762487962052,-42.741802321381485,6.915502,72,3.6647053,12.0,0,19.735052,19.737999,19.517336,18.838621,17.91919,17.60823,17.418394,17.542984,16.946106,18.508867,16.859093,19.488224,0.046582572,0.06926651,0.1130861,0.06535439,0.054558866,0.018289061,0.03238959,0.015298731,0.012369465,0.038808145,0.019515438,0.15826848
S,"iDR3.SPLUS-n02n19.019328",175.95021538229904,1.1350952392512657,2.8300993,13,3.9979973,12.0,0,22.163609,21.60204,24.588427,20.980457,20.949015,20.5849,20.024384,19.379372,18.882671,20.288008,18.331125,20.190804,0.482221,0.4412068,10.394961,0.34519094,0.33439916,0.08363075,0.120388955,0.031288397,0.024334582,0.092566885,0.03727442,0.16452116
S,"iDR3.STRIPE82-0024.000821",15.562046771477473,0.030255531274372773,3.8549912,122,3.4613879,12.0,0,19.019197,19.387941,19.879465,18.417976,17.848976,17.85308,17.09141,17.42847,16.675602,17.741243,16.484272,17.651432,0.035390165,0.064527795,0.15670139,0.038883224,0.023698093,0.010109561,0.013054175,0.0078707915,0.0056854356,0.011191265,0.009356586,0.01695999
